team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
UC SALTY SHORES,GreenSleeves,51,25,49.02,22971,450.41,59,1.16,36,0.71,74,1.45,179,3.51,361,7.08,118,2.31,43,0.84,32.96,369.42,48.85,110930,2175.1,70628,1384.86,40302,790.24,846,16.59,3556,69.73,27449,538.22,15834,310.47,11615,227.75,189,3.71,1016,19.92,2139.82,41.96,1127.29,22.1,5668,111.14,10282,201.61,2506,49.14,1503.89,25904800,507937.25,8607.44,168.77,7630.58,149.62,2063.81,40.47,9972.32,195.54,7550.89,148.06,778.65,15.27,518.68,10.17,0.08,6207,121.71,4494.8,88.13,6556.5,128.56,5282.37,103.58,13019.48,255.28,11324.78,222.05,6976.95,136.8,8254.27,161.85,6070.63,119.03,3976.98,77.98,25,0.49,53,1.04
INFINITE ISSUES,Heater,1,0,0.00,0,0,0,0,0,0,0,0,0,0,11,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE RELIABLE 3RD,INF3CT3DS0LDI3R,52,24,46.15,20491,394.06,49,0.94,16,0.31,87,1.67,140,2.69,347,6.67,109,2.1,38,0.73,35,357.53,44.14,106104,2040.46,68565,1318.56,37539,721.9,831,15.98,3235,62.21,21718,417.65,11833,227.56,9885,190.1,144,2.77,851,16.37,2349.25,45.18,1533.83,29.5,19845,381.63,14458,278.04,2490,47.88,1514.3,25910692,498282.53,8246.87,158.59,7594.61,146.05,2245,43.17,10907.7,209.76,6508.85,125.17,669.9,12.88,426.15,8.2,0.12,3707,71.29,6234.6,119.9,5607.1,107.83,4573.25,87.95,13513.19,259.87,12258.11,235.73,5828.41,112.08,9369.87,180.19,5264.72,101.24,3451.91,66.38,45,0.87,47,0.9
ALT+F4,IX Mini,48,32,66.67,26324,548.42,84,1.75,22,0.46,82,1.71,197,4.1,307,6.4,87,1.81,35,0.73,42.64,453.46,52.47,132623,2762.98,100201,2087.52,32422,675.46,1240,25.83,2858,59.54,31292,651.92,20568,428.5,10724,223.42,253,5.27,935,19.48,1768.93,36.85,1487.73,30.99,27967,582.65,24217,504.52,4948,103.08,1659.65,27537000,573687.5,6485.63,135.12,7123.24,148.4,3997.88,83.29,10357.25,215.78,6406.63,133.47,842.88,17.56,304.42,6.34,0.13,2302,47.96,5022.7,104.64,6609.8,137.7,4310.43,89.8,13296.39,277.01,10890.37,226.88,6716.36,139.92,8108.28,168.92,5595.45,116.57,3903.06,81.31,58,1.21,38,0.79
GRANDPLATS,IX SoloQ,13,5,38.46,4064,312.62,4,0.31,13,1,16,1.23,21,1.62,103,7.92,37,2.85,9,0.69,19.05,451.73,44.6,34981,2690.85,26951,2073.15,8030,617.69,309,23.77,654,50.31,7789,599.15,5491,422.38,2298,176.77,63,4.85,189,14.54,837.27,64.41,454.84,34.99,6427,494.38,3931,302.38,813,62.54,1504.1,6752715,519439.62,2298.33,176.79,1739.52,133.81,770.42,59.26,2743.3,211.02,1825.72,140.44,239.24,18.4,58.12,4.47,0.15,381,29.31,1487.9,114.45,1739.8,133.83,1644.01,126.46,3164.21,243.4,3141.69,241.67,1666.48,128.19,2399.62,184.59,1391.99,107.08,1016.65,78.2,16,1.23,9,0.69
SAVAGE MODE,Invincible,53,23,43.40,20561,387.94,52,0.98,37,0.7,60,1.13,145,2.74,352,6.64,139,2.62,42,0.79,35.86,434.09,53.42,141388,2667.7,102801,1939.64,38587,728.06,1246,23.51,3335,62.92,33273,627.79,22564,425.74,10709,202.06,276,5.21,930,17.55,1763.78,33.28,1581.38,29.84,26004,490.64,22380,422.26,5000,94.34,1567.9,27845252,525382.12,8402.02,158.53,7506.5,141.63,3059.99,57.74,11585.99,218.6,6615.13,124.81,767.53,14.48,557.1,10.51,0.13,4222,79.66,5095.1,96.13,7167.4,135.23,6257.01,118.06,12711.62,239.84,12216.03,230.49,6752.49,127.41,8953.64,168.94,6049.99,114.15,3964.97,74.81,76,1.43,38,0.72
INFINITE ISSUES,JBassFox,51,17,33.33,16229,318.22,37,0.73,23,0.45,62,1.22,95,1.86,426,8.35,133,2.61,38,0.75,38.95,308.22,51.43,96225,1886.76,70186,1376.2,26039,510.57,872,17.1,2283,44.76,22759,446.25,15166,297.37,7593,148.88,185,3.63,671,13.16,1589.18,31.16,2130.04,41.77,5616,110.12,15616,306.2,2808,55.06,1496.66,25631004,502568.72,8576.74,168.17,7913.66,155.17,1675.89,32.86,10310.36,202.16,7096.41,139.15,759.44,14.89,416.14,8.16,0.09,4829,94.69,5331.2,104.53,6589.3,129.2,5729.8,112.35,12436.49,243.85,11819.7,231.76,6346.55,124.44,8972.76,175.94,5385.38,105.6,3808.11,74.67,21,0.41,36,0.71
UC SALTY SHORES,Kameron,51,25,49.02,9805,192.25,17,0.33,12,0.24,47,0.92,55,1.08,361,7.08,118,2.31,37,0.73,30.91,381.81,47.39,113006,2215.8,86889,1703.71,26117,512.1,1024,20.08,2190,42.94,18006,353.06,11802,231.41,6204,121.65,127,2.49,506,9.92,3036.33,59.54,2042.34,40.05,20530,402.55,15066,295.41,753,14.76,1502.2,25857892,507017.5,8559.31,167.83,7586.61,148.76,2135.33,41.87,11553.16,226.53,6268.11,122.9,459.91,9.02,222.92,4.37,0.12,1800,35.29,7490.9,146.88,5427.2,106.42,4671.39,91.6,13609.78,266.86,13021.64,255.33,5259.47,103.13,10198.87,199.98,5163.9,101.25,2918.39,57.22,46,0.9,44,0.86
Kameron with a C & Steve & Muffled,Kameron with a C,49,27,55.10,11316,230.94,27,0.55,20,0.41,46,0.94,91,1.86,337,6.88,109,2.22,20,0.41,29.67,340.94,50.75,100475,2050.51,68737,1402.8,31738,647.71,817,16.67,2698,55.06,17611,359.41,9210,187.96,8401,171.45,114,2.33,682,13.92,1795.32,36.64,1776.75,36.26,9074,185.18,13115,267.65,2211,45.12,1410.96,23685884,483385.38,9561.86,195.14,6907.55,140.97,1374.9,28.06,11567,236.06,5825.95,118.9,451.36,9.21,250.48,5.11,0.15,1681,34.31,6502.5,132.7,5251.5,107.17,4878.76,99.57,12965.56,264.6,11997.01,244.84,5847.32,119.33,9305.81,189.91,4977.35,101.58,3561.11,72.68,28,0.57,37,0.76
THE RELIABLE 3RD,Krystopher,52,24,46.15,12382,238.12,20,0.38,23,0.44,50,0.96,74,1.42,347,6.67,109,2.1,32,0.62,27.03,344.37,49.96,104078,2001.5,74141,1425.79,29937,575.71,893,17.17,2610,50.19,16775,322.6,9573,184.1,7202,138.5,120,2.31,615,11.83,1958.91,37.67,2122.56,40.82,12541,241.17,14064,270.46,1875,36.06,1432.42,24544208,472004,9171.58,176.38,7200.48,138.47,1740.06,33.46,10761.68,206.96,6730.47,129.43,619.95,11.92,305.43,5.87,0.17,1823,35.06,6619.3,127.29,5581.5,107.34,4933.13,94.87,13178.99,253.44,12497.84,240.34,5614.29,107.97,9675.27,186.06,5219.73,100.38,3217.09,61.87,22,0.42,35,0.67
