team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
MF;Honesty;23;15;65.22;8767;381.17;20;0.87;14;0.61;24;1.04;65;2.83;139;6.04;41;1.78;10;0.43;30.77;399.34;53.13;55063;2394.04;40715;1770.22;14348;623.83;474;20.61;1242;54;14978;651.22;9918;431.22;5060;220;110;4.78;428;18.61;1153.86;50.17;1342;58.35;5579;242.57;7077;307.7;1142;49.65;1479.4;12008864;522124.53;4182.86;181.86;3378.71;146.9;989.58;43.03;4578.47;199.06;3518.27;152.97;454.47;19.76;170.49;7.41;0.16;1054;45.83;2179.3;94.75;3447;149.87;2869.41;124.76;5681.77;247.03;5066.1;220.27;3485.07;151.52;3715.9;161.56;2636.95;114.65;2198.3;95.58;2602.49;2437.61;2767.46;15;0.65;27;1.17
WF;Hotshot;29;14;48.28;11046;380.9;26;0.9;20;0.69;40;1.38;66;2.28;193;6.66;70;2.41;22;0.76;39.39;389.52;51.71;68587;2365.07;53985;1861.55;14602;503.52;658;22.69;1230;42.41;13781;475.21;9767;336.79;4014;138.41;121;4.17;353;12.17;1251.95;43.17;1742.9;60.1;7953;274.24;11936;411.59;2341;80.72;1481.02;14651267;505216.09;5102.78;175.96;4377.79;150.96;1065.17;36.73;6699.06;231;3330.1;114.83;516.51;17.81;135.47;4.67;0.13;1055;36.38;3603.7;124.27;3575.1;123.28;2926.02;100.9;7619.7;262.75;6943.98;239.45;3601.67;124.2;5228.53;180.29;3157.1;108.87;2160.07;74.49;3128.37;3029.98;3214.35;18;0.62;20;0.69
TMG;IX Solo;21;14;66.67;11351;540.52;41;1.95;12;0.57;27;1.29;89;4.24;132;6.29;40;1.9;17;0.81;46.07;445.5;46.98;55873;2660.62;42430;2020.48;13443;640.14;498;23.71;1164;55.43;13689;651.86;9290;442.38;4399;209.48;110;5.24;378;18;1023.33;48.73;686.68;32.7;9286;442.19;7472;355.81;1690;80.48;1563.67;11142522;530596.31;3331.65;158.65;2985.36;142.16;1296.62;61.74;4281.72;203.89;2923.87;139.23;408.06;19.43;78.59;3.74;0.14;562;26.76;2228.7;106.13;2784;132.57;1981.36;94.35;5632.25;268.2;4633.05;220.62;2980.58;141.93;3497.72;166.56;2225.48;105.98;1890.44;90.02;2646.29;2494.66;2799.75;33;1.57;15;0.71
TACTICALBACKFLIP;JBassFox;31;17;54.84;12840;414.19;26;0.84;22;0.71;56;1.81;74;2.39;210;6.77;67;2.16;24;0.77;35.14;327.24;52.38;63321;2042.61;46191;1490.03;17130;552.58;603;19.45;1476;47.61;15389;496.42;10279;331.58;5110;164.84;128;4.13;436;14.06;969.43;31.27;1358.9;43.84;3671;118.42;12716;410.19;2060;66.45;1501.69;15723691;507215.84;5115.54;165.02;4868.92;157.06;1139.67;36.76;6087.56;196.37;4522.85;145.9;513.77;16.57;288.48;9.31;0.09;3391;109.39;3392.5;109.44;4151;133.9;3281.59;105.86;7842.62;252.99;7354.31;237.24;3769.88;121.61;5480.81;176.8;3357.55;108.31;2285.85;73.74;3221.48;3083.27;3336.15;19;0.61;27;0.87
PUMPKIN SPICED;KyleS;26;15;57.69;10210;392.69;23;0.88;13;0.5;39;1.5;69;2.65;189;7.27;56;2.15;18;0.69;33.33;383.56;47.8;55933;2151.27;39413;1515.88;16520;635.38;446;17.15;1434;55.15;10936;420.62;6819;262.27;4117;158.35;76;2.92;361;13.88;1215.27;46.74;542.78;20.88;5939;228.42;5186;199.46;690;26.54;1423.6;12345003;474807.81;4909.75;188.84;3395.78;130.61;918.71;35.33;5454.01;209.77;3495.15;134.43;275.12;10.58;202.29;7.78;0.1;2100;80.77;2799.6;107.68;3037.9;116.84;2628.24;101.09;6595.99;253.69;6093.87;234.38;3130.41;120.4;4509.24;173.43;2977.44;114.52;1737.58;66.83;2772.2;2665.31;2879.45;26;1;29;1.12
CC;Lavablue;25;11;44.00;12025;481;34;1.36;7;0.28;48;1.92;82;3.28;177;7.08;58;2.32;18;0.72;41.46;395.85;49.94;58383;2335.32;45110;1804.4;13273;530.92;551;22.04;1176;47.04;13733;549.32;9346;373.84;4387;175.48;111;4.44;387;15.48;755.8;30.23;1130.03;45.2;5176;207.04;8687;347.48;1314;52.56;1468.6;12243321;489732.84;4464.51;178.58;3490.11;139.6;903.56;36.14;5198.73;207.95;3151.02;126.04;508.42;20.34;216.46;8.66;0.12;1792;71.68;2607.3;104.29;3384.2;135.37;2550.81;102.03;6307.36;252.29;5607.22;224.29;3251;130.04;4170.45;166.82;2754.58;110.18;1933.23;77.33;2821.12;2626.33;3008.51;22;0.88;18;0.72
MMF;MiniMug;25;7;28.00;6314;252.56;7;0.28;10;0.4;29;1.16;36;1.44;188;7.52;72;2.88;28;1.12;19.44;385;48.6;56528;2261.12;41673;1666.92;14855;594.2;470;18.8;1330;53.2;10025;401;6490;259.6;3535;141.4;76;3.04;313;12.52;1297.98;51.92;800.2;32.01;5725;229;5431;217.24;1134;45.36;1523.42;12573386;502935.44;4021;160.84;3672.57;146.9;1089.3;43.57;5132.28;205.29;3348.41;133.94;302.14;12.09;144.28;5.77;0.12;1263;50.52;3196.4;127.86;2644.5;105.78;2277.37;91.09;6505.53;260.22;5986.37;239.45;2796.53;111.86;4470.82;178.83;2753.31;110.13;1558.76;62.35;2878.52;2821.09;2938.14;13;0.52;19;0.76
MMF;Monkeylicous;25;7;28.00;5120;204.8;10;0.4;11;0.44;16;0.64;34;1.36;188;7.52;72;2.88;20;0.8;29.41;244.58;58.62;37543;1501.72;23496;939.84;14047;561.88;337;13.48;1240;49.6;7669;306.76;3296;131.84;4373;174.92;56;2.24;378;15.12;577.96;23.12;1226.62;49.06;3960;158.4;10600;424;2320;92.8;1476.3;12205949;488237.97;4393.01;175.72;3692;147.68;696.16;27.85;5424.56;216.98;3142.31;125.69;214.32;8.57;157.76;6.31;0.11;1432;57.28;2843.1;113.72;2990.3;119.61;2643.6;105.74;6137.59;245.5;5811.02;232.44;2970.21;118.81;4354.48;174.18;2775.25;111.01;1651.44;66.06;3021.24;3025.2;3022.61;14;0.56;16;0.64
BACKFLIP;Mr. Doctor;5;3;60.00;1361;272.2;3;0.6;2;0.4;3;0.6;10;2;35;7;17;3.4;7;1.4;30;359.04;51.28;12680;2536;9817;1963.4;2863;572.6;125;25;248;49.6;2948;589.6;2165;433;783;156.6;27;5.4;70;14;246.29;49.26;223.23;44.65;862;172.4;2238;447.6;535;107;1523.96;2842020;568404;910.36;182.07;868.04;173.61;229.17;45.83;1168.8;233.76;748.55;149.71;90.22;18.04;56.49;11.3;0.08;713;142.6;561.2;112.24;769.2;153.84;605.71;121.14;1401.86;280.37;1321.86;264.37;685.69;137.14;982.69;196.54;597.72;119.54;427.16;85.43;3152.95;3160.02;3141.74;7;1.4;6;1.2
CC;MyBananaPancake;23;9;39.13;6591;286.57;11;0.48;13;0.57;24;1.04;49;2.13;169;7.35;55;2.39;23;1;22.45;436.21;49.12;57877;2516.39;43777;1903.35;14100;613.04;507;22.04;1245;54.13;10907;474.22;7154;311.04;3753;163.17;85;3.7;330;14.35;1143.96;49.74;854.31;37.14;11400;495.65;6955;302.39;1237;53.78;1565.32;11986823;521166.22;3424.77;148.9;3441.5;149.63;1242.19;54.01;4686.56;203.76;3135.18;136.31;286.7;12.47;206.54;8.98;0.14;1485;64.57;2635.5;114.59;2577.8;112.08;2122.14;92.27;5986.31;260.27;5437.09;236.4;2671.29;116.14;4043.11;175.79;2486.3;108.1;1578.99;68.65;2707.47;2662.2;2754.67;37;1.61;21;0.91
